feroxbuster -u http://metapress.htb -w /usr/share/wordlists/dirb/common.txt -t 200 -r

 ___  ___  __   __     __      __         __   ___
|__  |__  |__) |__) | /  `    /  \ \_/ | |  \ |__
|    |___ |  \ |  \ | \__,    \__/ / \ | |__/ |___
by Ben "epi" Risher 🤓                 ver: 2.11.0
───────────────────────────┬──────────────────────
 🎯  Target Url            │ http://metapress.htb
 🚀  Threads               │ 200
 📖  Wordlist              │ /usr/share/wordlists/dirb/common.txt
 👌  Status Codes          │ All Status Codes!
 💥  Timeout (secs)        │ 7
 🦡  User-Agent            │ feroxbuster/2.11.0
 💉  Config File           │ /home/pks/.config/feroxbuster/ferox-config.toml
 🔎  Extract Links         │ true
 🏁  HTTP methods          │ [GET]
 📍  Follow Redirects      │ true
 🔃  Recursion Depth       │ 4
───────────────────────────┴──────────────────────
 🏁  Press [ENTER] to use the Scan Management Menu™
──────────────────────────────────────────────────
400      GET        1l        1w        1c http://metapress.htb/wp-admin/admin-ajax.php
200      GET       97l      429w     6931c http://metapress.htb/wp-login.php?redirect_to=http%3A%2F%2Fmetapress.htb%2Fwp-admin%2F&reauth=1
404      GET      153l      519w     9944c Auto-filtering found 404-like response and created new filter; toggle off with --dont-filter
200      GET       20l       76w      633c http://metapress.htb/.htaccess
200      GET      184l      700w     5705c http://metapress.htb/wp-content/themes/twentytwentyone/assets/js/primary-navigation.js
200      GET      178l      321w     2897c http://metapress.htb/wp-content/themes/twentytwentyone/assets/css/print.css
200      GET       43l       43w     1045c http://metapress.htb/wp-includes/wlwmanifest.xml
200      GET        2l       15w     1426c http://metapress.htb/wp-includes/js/wp-embed.min.js
200      GET        1l       37w     2297c http://metapress.htb/wp-includes/css/dist/block-library/theme.min.css
200      GET       42l      145w     1057c http://metapress.htb/wp-content/themes/twentytwentyone/assets/js/polyfills.js
500      GET        0l        0w        0c http://metapress.htb/wp-content/themes/twentytwentyone/
200      GET       36l      150w     1127c http://metapress.htb/wp-content/themes/twentytwentyone/assets/js/responsive-embeds.js
200      GET       11l      742w    51338c http://metapress.htb/wp-includes/css/dist/block-library/style.min.css
404      GET        7l       11w      153c http://metapress.htb/admin.php
200      GET        1l     4351w    93427c http://metapress.htb/wp-json
200      GET     5870l    12390w   152103c http://metapress.htb/wp-content/themes/twentytwentyone/style.css
404      GET        0l        0w        0c http://metapress.htb/_css
404      GET        0l        0w        0c http://metapress.htb/_assets
404      GET        0l        0w        0c http://metapress.htb/_tmp
404      GET        0l        0w        0c http://metapress.htb/_vti_bin/shtml.dll
404      GET        0l        0w        0c http://metapress.htb/~adm
404      GET        0l        0w        0c http://metapress.htb/~sysadmin
404      GET        0l        0w        0c http://metapress.htb/_source
404      GET        0l        0w        0c http://metapress.htb/_tmpfileop
404      GET        0l        0w        0c http://metapress.htb/_notes
404      GET        0l        0w        0c http://metapress.htb/_pages
404      GET        0l        0w        0c http://metapress.htb/~admin
404      GET        0l        0w        0c http://metapress.htb/_files
404      GET        0l        0w        0c http://metapress.htb/_dummy
404      GET        0l        0w        0c http://metapress.htb/_swf
404      GET        0l        0w        0c http://metapress.htb/~administrator
404      GET        0l        0w        0c http://metapress.htb/~test
