feroxbuster -u http://surveillance.htb -w /usr/share/wordlists/dirb/common.txt -t 200 -r

 ___  ___  __   __     __      __         __   ___
|__  |__  |__) |__) | /  `    /  \ \_/ | |  \ |__
|    |___ |  \ |  \ | \__,    \__/ / \ | |__/ |___
by Ben "epi" Risher 🤓                 ver: 2.11.0
───────────────────────────┬──────────────────────
 🎯  Target Url            │ http://surveillance.htb
 🚀  Threads               │ 200
 📖  Wordlist              │ /usr/share/wordlists/dirb/common.txt
 👌  Status Codes          │ All Status Codes!
 💥  Timeout (secs)        │ 7
 🦡  User-Agent            │ feroxbuster/2.11.0
 💉  Config File           │ /home/pks/.config/feroxbuster/ferox-config.toml
 🔎  Extract Links         │ true
 🏁  HTTP methods          │ [GET]
 📍  Follow Redirects      │ true
 🔃  Recursion Depth       │ 4
───────────────────────────┴──────────────────────
 🏁  Press [ENTER] to use the Scan Management Menu™
──────────────────────────────────────────────────
404      GET       63l      222w        -c Auto-filtering found 404-like response and created new filter; toggle off with --dont-filter
200      GET        9l       26w      304c http://surveillance.htb/.htaccess
200      GET      108l      201w     1870c http://surveillance.htb/css/responsive.css
200      GET       56l      237w    22629c http://surveillance.htb/images/w3.png
200      GET       46l       97w     1008c http://surveillance.htb/js/custom.js
503      GET        7l       14w      206c http://surveillance.htb/js/
503      GET        7l       14w      206c http://surveillance.htb/images/s1.png
503      GET        7l       14w      206c http://surveillance.htb/images/s2.png
503      GET        7l       14w      206c http://surveillance.htb/images/c1.jpg
503      GET        7l       14w      206c http://surveillance.htb/images/w1.png
503      GET        7l       14w      206c http://surveillance.htb/text/
503      GET        7l       14w      206c http://surveillance.htb/images/
200      GET      148l      770w    71008c http://surveillance.htb/images/c2.jpg
200      GET       42l      243w    24617c http://surveillance.htb/images/s3.png
200      GET       42l      310w    32876c http://surveillance.htb/images/home.png
200      GET      105l      782w    62695c http://surveillance.htb/images/w2.png
200      GET        4l       66w    31000c http://surveillance.htb/css/font-awesome.min.css
200      GET      913l     1800w    17439c http://surveillance.htb/css/style.css
200      GET       42l      310w    32876c http://surveillance.htb/images/favicon.png
200      GET        2l     1276w    88145c http://surveillance.htb/js/jquery-3.4.1.min.js
200      GET       89l      964w    72118c http://surveillance.htb/images/hero-bg.png
200      GET     4436l    10973w   136569c http://surveillance.htb/js/bootstrap.js
200      GET    10038l    19587w   192348c http://surveillance.htb/css/bootstrap.css
200      GET      783l     4077w   330169c http://surveillance.htb/images/about-img.png
200      GET      764l     3911w   284781c http://surveillance.htb/images/why-bg.jpg
200      GET     1518l     8174w   619758c http://surveillance.htb/images/slider-img.png
200      GET      475l     1185w    16230c http://surveillance.htb/
503      GET        7l       14w      206c http://surveillance.htb/back-up
503      GET        7l       14w      206c http://surveillance.htb/backups
503      GET        7l       14w      206c http://surveillance.htb/backup_migrate
503      GET        7l       14w      206c http://surveillance.htb/back
503      GET        7l       14w      206c http://surveillance.htb/backup
503      GET        7l       14w      206c http://surveillance.htb/backup2
503      GET        7l       14w      206c http://surveillance.htb/backend
503      GET        7l       14w      206c http://surveillance.htb/bakup
503      GET        7l       14w      206c http://surveillance.htb/backup-db
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/6fb3ecb/
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/406b3277/
503      GET        7l       14w      206c http://surveillance.htb/bak
503      GET        7l       14w      206c http://surveillance.htb/bad_link
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/1086baca/d3.js
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/1086baca/
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/1ee84e9/
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/d1a8b721/
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/ab39c83/css/
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/d448a8c9/
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/d448a8c9/jquery.js
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/bf6704d6/css/
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/deaf38df/
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/82e60301/jquery.payment.js
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/68d90560/
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/1ee84e9/css/tailwind_reset.css
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/877101b6/
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/36829225/
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/bebdd9df/
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/ab39c83/images/icons/safari-pinned-tab.svg
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/82b5dc63/
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/c0d4ee74/
503      GET        7l       14w      206c http://surveillance.htb/admin/index.php
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/6fb3ecb/css/selectize.css
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/c0d4ee74/jquery.fileupload.js
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/ab39c83/cp.js
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/b50564df/
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/bf6704d6/login.js
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/ab39c83/css/cp.css
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/82e60301/
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/6fb3ecb/selectize.js
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/1ee84e9/tailwind_reset.js
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/ab39c83/
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/6fb3ecb/css/
503      GET        7l       14w      206c http://surveillance.htb/admin/cpresources/406b3277/fabric.js
503      GET        7l       14w      206c http://surveillance.htb/css/@
503      GET        7l       14w      206c http://surveillance.htb/css/.ssh
